id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-231,231,5,"Town Oddities, Natural Wonders & Mysteries",11,The Aransas National Wildlife Refuge,Endangered whooping cranes flew thousands of miles to winter in the coastal marsh grass.,the-aransas-national-wildlife-refuge,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-232,232,5,"Town Oddities, Natural Wonders & Mysteries",11,The Rockport Art Colony,"Paineters set up easels along the breezy, wind-carved fishing piers of Copano Bay.",the-rockport-art-colony,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-233,233,5,"Town Oddities, Natural Wonders & Mysteries",11,The Port Aransas Beach Bonfires,Families roasted marshmallows in the sand as container ships slipped past the jetties.,the-port-aransas-beach-bonfires,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-234,234,5,"Town Oddities, Natural Wonders & Mysteries",11,The Mustang Island Sand Dunes,"Winds blew white quartz sand into shifting, sea-oat-covered hills.",the-mustang-island-sand-dunes,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-235,235,5,"Town Oddities, Natural Wonders & Mysteries",11,The Padre Island National Seashore,The longest stretch of undeveloped barrier island wilderness in the world stretched toward Mexico.,the-padre-island-national-seashore,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-236,236,5,"Town Oddities, Natural Wonders & Mysteries",12,The Kemp’s Ridley Turtle Hatchings,Biologists and volunteers released tiny baby sea turtles into the crashing surf at dawn.,the-kemps-ridley-turtle-hatchings,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-237,237,5,"Town Oddities, Natural Wonders & Mysteries",12,The Baffin Bay Salinity Flats,"Anglers chased massive speckled trout in hypersaline, remote South Texas waters.",the-baffin-bay-salinity-flats,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-238,238,5,"Town Oddities, Natural Wonders & Mysteries",12,The King Ranch White-Tailed Deer,"Herds of native deer thrived in the dense, thorny mesquite brush.",the-king-ranch-white-tailed-deer,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-239,239,5,"Town Oddities, Natural Wonders & Mysteries",12,The Falfurrias Butter Heritage,A remote Brooks County ranching town that once produced tons of golden dairy cream.,the-falfurrias-butter-heritage,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-240,240,5,"Town Oddities, Natural Wonders & Mysteries",12,The Alice Birthplace of the Milk Can,Oilfield supply towns that serviced the rolling wildcatter rigs.,the-alice-birthplace-of-the-milk-can,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-241,241,5,"Town Oddities, Natural Wonders & Mysteries",12,The Kingsville Historic Depot,A gorgeous brick railway station serving the heart of the coastal plains.,the-kingsville-historic-depot,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-242,242,5,"Town Oddities, Natural Wonders & Mysteries",12,The Riviera Beach Pier,"Fishing enthusiasts cast lines over the shallow, warm waters of Baffin Bay.",the-riviera-beach-pier,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-243,243,5,"Town Oddities, Natural Wonders & Mysteries",12,The Sarita Brush Country Roads,Driving through endless tunnels of green oak trees on remote Highway 77.,the-sarita-brush-country-roads,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-244,244,5,"Town Oddities, Natural Wonders & Mysteries",12,The Raymondville Onion Capital Fame,Farmers packed sweet white bulbs into wooden crates for northern markets.,the-raymondville-onion-capital-fame,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-245,245,5,"Town Oddities, Natural Wonders & Mysteries",12,The Harlingen Art Forum,Sculptors and painters gathered under the warm subtropical Valley sun.,the-harlingen-art-forum,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-246,246,5,"Town Oddities, Natural Wonders & Mysteries",12,The San Benito Resaca Views,"An old, horseshoe-shaped river channel wound quietly through the middle of town.",the-san-benito-resaca-views,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-247,247,5,"Town Oddities, Natural Wonders & Mysteries",12,The Los Fresnos Rodeo Arena,"Roping calves in the lush, citrus-scented flatlands near Brownsville.",the-los-fresnos-rodeo-arena,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-248,248,5,"Town Oddities, Natural Wonders & Mysteries",12,The Port Isabel Seafood Docks,Shrimp boats unloaded their iced catches under screaming circling gulls.,the-port-isabel-seafood-docks,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-249,249,5,"Town Oddities, Natural Wonders & Mysteries",12,The Boca Chica Beach Launchpads,Starships roared off the sandy coastal flats toward the distant stars.,the-boca-chica-beach-launchpads,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-250,250,5,"Town Oddities, Natural Wonders & Mysteries",12,The Final Sunset Over Big Bend,The sky turned a brilliant bruised violet as darkness settled over the Rio Grande.,the-final-sunset-over-big-bend,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
