source_number,source_title,coverage_status,canonical_route,secondary_route,recommended_action,claim_review,publish_decision,notes
30,The Blind Lemon Jefferson Blues,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,Likely overlaps Texas blues/talent coverage; confirm the current canonical route before creating a new biography.
31,The Poodie’s Hilltop Bar Tradition,route-review-needed,,,confirm-route-before-development,venue-history-needs-verification,hold,Research current venue identity/status and check for directory or music-venue coverage before development.
32,The Broken Spoke Honky-Tonk,existing-authority,/broken-spoke-austin-history,/texas-dance-halls-honky-tonks,keep-existing-route,source-summary-needs-verification,hold,Broken Spoke already has a dedicated public history route plus statewide dance-hall coverage.
33,The Selena Museum,existing-cluster,/corpus-christi-music-history,,expand-existing-route,destination-details-need-verification,hold,Use the Corpus Christi music cluster unless a distinct museum destination route is confirmed and adds visitor value.
34,The Big Tex Fire,route-review-needed,,,confirm-route-before-development,incident-history-needs-verification,hold,Big Tex exists in icon data but the 2012 fire story needs its own route-gap and source review before publication.
35,The Kolache Trail in Hallettsville,existing-cluster,/article/kolache-or-klobasnek-texas-story,,expand-existing-route,cultural-history-needs-verification,hold,TexasDefined already has a kolache/klobasnek authority article; assess whether Hallettsville adds a distinct travel angle.
36,The Salt Lick BBQ Pit,route-review-needed,,,confirm-route-before-development,venue-history-needs-verification,hold,TexasDefined has statewide BBQ coverage; confirm the exact canonical BBQ/city route before deciding whether this story belongs in an existing guide or needs a new page.
37,The Gruene River Tubing Tradition,route-review-needed,,,confirm-route-before-development,tradition-claim-needs-verification,hold,Likely overlaps Gruene/Guadalupe destination coverage; confirm the canonical route and visitor-value gap first.
38,The Texas Dance Hall Preservation,existing-authority,/texas-dance-halls-honky-tonks,,keep-existing-route,organization-history-needs-verification,hold,A statewide dance-halls authority page already covers the subject area; verified preservation history belongs there.
39,The Antone’s Blues Club Legacy,existing-authority,/antones-austin-history,/austin-music-history,keep-existing-route,venue-history-needs-verification,hold,Antone's already has a dedicated public history route and is linked from Austin music history.
40,The San Antonio River Walk Design,existing-destination,/destination/san-antonio-river-walk,,expand-existing-route,design-history-needs-verification,hold,River Walk already has a canonical destination page; verified Hugman/design history should strengthen it rather than spawn a duplicate.
41,The Buddy Holly Center,existing-cluster,/lubbock-music-history,,expand-existing-route,destination-details-need-verification,hold,Lubbock music history is the current authority cluster; confirm whether a separate Buddy Holly Center destination route already exists.
42,The Lockhart BBQ Capital Fame,route-review-needed,,,confirm-route-before-development,superlative-needs-verification,hold,TexasDefined has statewide BBQ coverage; confirm the exact Lockhart and BBQ canonical routes before deciding whether to expand existing coverage.
43,The Natural Bridge Caverns Discovery,existing-destination,/destination/natural-bridge-caverns,,expand-existing-route,discovery-history-needs-verification,hold,Natural Bridge Caverns already has a canonical destination route; add sourced discovery history there.
44,The Terlingua Ghost Town Rebirth,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,Confirm the current Terlingua destination/city route and avoid duplicating existing travel coverage.
45,The Luckenbach General Store,existing-destination,/destination/luckenbach,,expand-existing-route,venue-history-needs-verification,hold,The general store is part of the Luckenbach destination story and should strengthen that route rather than create a second page.
46,The Beaumont Spindletop Gusher,existing-destination,/destination/spindletop-gladys-city-boomtown,,expand-existing-route,historical-claim-needs-verification,hold,Spindletop already has a canonical destination route; add verified oil-history context there.
47,The Fort Worth Water Gardens,existing-destination,/destination/fort-worth-water-gardens,,expand-existing-route,design-history-needs-verification,hold,The Water Gardens already has a canonical destination route; enrich that page if the historical material is missing.
48,The Austin Bat Bridge,existing-destination,/destination/congress-avenue-bridge-bats,,expand-existing-route,population-claim-needs-verification,hold,Congress Avenue Bridge bats already have a dedicated destination route; seasonal population claims must remain sourced.
49,The Washington-on-the-Brazos Heritage,existing-destination,/destination/washington-on-the-brazos-state-historic-site,,expand-existing-route,historical-claim-needs-verification,hold,Washington-on-the-Brazos already has a canonical destination route; strengthen it with verified 1836 context.
50,The Hamilton Pool Preserve,existing-destination,/destination/hamilton-pool-preserve,,expand-existing-route,visitor-details-need-verification,hold,Hamilton Pool already has a canonical destination route; keep changing access/swimming details in the destination system.
