id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-182,182,4,"Science, Space & Big Industry",9,The Seabrook Oyster Farming,Harvesting briny bivalves from the nutrient-rich waters of Galveston Bay.,the-seabrook-oyster-farming,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-183,183,4,"Science, Space & Big Industry",9,The Matagorda Island Lighthouse,Guiding ships safely past shifting barrier island sandbars.,the-matagorda-island-lighthouse,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-184,184,4,"Science, Space & Big Industry",9,The Port Isabel Lighthouse,A tiny brick beacon standing tall near the Queen Isabella Causeway.,the-port-isabel-lighthouse,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-185,185,4,"Science, Space & Big Industry",9,The Aransas Pass Dredging Projects,Cutting deep channels through the barrier islands for deep-sea fishing trawlers.,the-aransas-pass-dredging-projects,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-186,186,4,"Science, Space & Big Industry",9,The Brownsville Shipbreaking Yards,Dismantling old ocean-going vessels on the muddy banks of the Brownsville ship channel.,the-brownsville-shipbreaking-yards,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-187,187,4,"Science, Space & Big Industry",9,The Del Rio International Bridge,A busy commercial span linking border communities across the glassy Rio Grande.,the-del-rio-international-bridge,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-188,188,4,"Science, Space & Big Industry",9,The Eagle Pass Coal Mines,Digging black fuel out of the rich border earth for regional energy.,the-eagle-pass-coal-mines,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-189,189,4,"Science, Space & Big Industry",9,The Laredo Trading Gateway,Wagons and semi-trucks rolled across international spans carrying goods north and south.,the-laredo-trading-gateway,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-190,190,4,"Science, Space & Big Industry",9,The Alpine Sul Ross Campus Science,Botanists cataloged desert flora in the high-altitude Trans-Pecos mountain air.,the-alpine-sul-ross-campus-science,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-191,191,4,"Science, Space & Big Industry",9,The Kerrville Aviation Roots,Training civilian pilots and building aeronautical maintenance facilities in the hills.,the-kerrville-aviation-roots,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-192,192,4,"Science, Space & Big Industry",9,The Fredericksburg Nimitz Museum,The old hotel turned into a world-renowned Pacific War history and research center.,the-fredericksburg-nimitz-museum,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-193,193,4,"Science, Space & Big Industry",10,The Johnson City Electric Cooperative,Bringing modern rural electrification to the Pedernales river valley.,the-johnson-city-electric-cooperative,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-194,194,4,"Science, Space & Big Industry",10,The Bastrop Pine Forest Recovery,Trees sprouted back from sandy soil after intense regional wildfires.,the-bastrop-pine-forest-recovery,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-195,195,4,"Science, Space & Big Industry",10,The Smithville Railroad Heritage,A quiet junction town where steam locomotives once changed crews on the MKT line.,the-smithville-railroad-heritage,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-196,196,4,"Science, Space & Big Industry",10,The Taylor Cotton Compress,Massive steam-powered presses squeezed fluffy white bales into tight export blocks.,the-taylor-cotton-compress,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-197,197,4,"Science, Space & Big Industry",10,The Round Rock Lime Manufacturing,Quarrying the hard white stone that built early central Texas foundations.,the-round-rock-lime-manufacturing,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-198,198,4,"Science, Space & Big Industry",10,The Georgetown Chisholm Trail Crossings,Cattle hooves stamped the limestone creek beds flat.,the-georgetown-chisholm-trail-crossings,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-199,199,4,"Science, Space & Big Industry",10,The Burnet Granite Quarries,Pink stone was cut from local hills to build the towering walls of the Austin Capitol.,the-burnet-granite-quarries,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-200,200,4,"Science, Space & Big Industry",10,The Llano Uplift Geological Wonder,Ancient billion-year-old pink granite and mineral deposits broke through the Earth's crust.,the-llano-uplift-geological-wonder,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
